title,culture/people,media/materials,object type,place,collection history,image
Moccasins,Sioux  ,Lazy/lane stitch beadwork,Clothing/Garments: Footwear,South Dakota; USA,"Collection history unknown; part of the collection of anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4071/289/053.700x700.jpg
Saddle frame,"Potawatomi [Prairie Band, Kansas]  ","Bent, stitched",Animal Tack and Animal Husbandry,Kansas; USA,"Collected from Ci'-pa-do-wa' (Prairie Band Potawatomi) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and expedition interpreter Leo Walker (Sac and Fox), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4133/335/032.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
title,culture/people,media/materials,object type,place,collection history,image
title,culture/people,media/materials,object type,place,collection history,image
title,culture/people,media/materials,object type,place,collection history,image
Bifacial tool/projectile point,"probably Multiple archaeological cultures (attributed), including Late Archaic and Middle Woodland Traditions  ",Flaked/chipped,Tools and Equipment (General),Michigan; USA,"Collection history unknown; acquired before 1905 by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) from G.F. Laurence, Dr. Wilbert Bartlett Hinsdale (1851-1944, a Michigan artifact collector) or the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4101/075/038.700x700.jpg
Bifacial tool/projectile point,Unknown archaeological culture  ,Flaked/chipped,Tools and Equipment (General),Michigan; USA,"Collection history unknown; acquired before 1905 by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) from G.F. Laurence, Dr. Wilbert Bartlett Hinsdale (1851-1944, a Michigan artifact collector) or the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/257/045/11.700x700.jpg
Bifacial tool/projectile point,"probably Multiple archaeological cultures (attributed), including Archaic and Woodland Traditions  ",Flaked/chipped,Tools and Equipment (General),Michigan; USA,"Collection history unknown; acquired before 1905 by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) from several sources including G.F. Laurence, Dr. Wilbert Bartlett Hinsdale (1851-1944, a Michigan artifact collector) and the J. C. Stevens Auction Rooms (London, England); purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4029/612/145.700x700.jpg
Knife and sheath,probably Great Lakes (attributed)  ,"Quilled (lane stitched), quill-wrapped (flat), quill embroidered",Personal items,"Great Lakes region; Canada, USA (inferred)","Collection history unknown; formerly in the collection of the Chichester Museum (Chichester, West Sussex, England) and said to have been acquired by the museum about 1845; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1912; purchased by George Heye from W.O. Oldman in 1913.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10141/629/032873.700x700.jpg
Moccasins,possibly Potawatomi (attributed)  ,"Sewn, dyed, quill-wrapped (flat), edge beaded, painted",Clothing/Garments: Footwear,Great Lakes Region; USA (inferred),"Said to have belonged to Chief Muscoda (Sioux), who was killed in Glendive, Montana during the Louis Riel Rebellion in 1885; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1915; purchased by George Heye from W.O. Oldman in 1915.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4016/632/012.700x700.jpg
Pipe tomahawk,Non-Indian; probably used by the Iroquois  ,Carved,Personal items,"Ontario, Québec, New York; Canada, USA (inferred)","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1923.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4030/879/047.700x700.jpg
Arrow,Enxet (Lengua)  ,Carved,Hunting/Fishing/Warfare,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10118/268/049.700x700.jpg
Chest ornament/Pectoral,possibly Tiwanaku (Tiahuanaco) (archaeological culture) (attributed)  ,Hammered,Adornment/Jewelry,Río Lípez; Sud Lípez Province; Potosí Department; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1928 using funds donated by MAI trustee James B. Ford (1844-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4077/128/023.700x700.jpg
Bracelet,Shuar/Achuar  ,Strung,Adornment/Jewelry,Oriente Region; Ecuador,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1921 using funds donated by Edith Hendricks (ca. 1849-1921, sister of MAI trustee Harmon W. Hendricks).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/256/500/007.700x700.none.jpg
Bag,Enxet (Lengua)  ,Looped,Bags/Pouches (and parts),Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/254/147/079.700x700.none.jpg
Vessel and cover,Enxet (Lengua)  ,Incised,Containers and Vessels,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/253/191/035.700x700.none.jpg
Pipe bowl and pipestem,Enxet (Lengua)  ,Carved,Pipes and Smoking,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/253/236/080.700x700.none.jpg
Necklace,Enxet (Lengua)  ,Strung,Adornment/Jewelry,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/253/332/009.700x700.none.jpg
Twine/cord,Enxet (Lengua)  ,Spun,Materials: Prepared,Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10118/289/070.700x700.jpg
Hand drum,Kwakwaka'wakw (Kwakiutl)  ,Painted,Music and Sound,Vancouver Island; British Columbia; Canada,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1937.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4068/807/016.700x700.jpg
Woman's dress,Niitsitapii (Blackfoot/Blackfeet)  ,Lazy/lane stitch beadwork,Clothing/Garments,"Montana or Alberta; USA, Canada (inferred)","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) circa 1914; purchased by George Heye from W.O. Oldman in 1914.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10100/055/036392.700x700.jpg
"Harpoon head, foreshaft, and line",Eskimo/Inuit  ,"Carved, braided",Hunting/Fishing/Warfare,Arctic (inferred),"Collected by William Gowan (or Gowen) between 1850 and 1854 when he served on the HMS Enterprise during a search for explorer Sir John Franklin (1786-1847), who disappeared during an 1845-1847 voyage to chart Canada's Northwest Passage; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1917.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4038/452/011.700x700.jpg
Armband,Shuar [Palora]  ,"Stitched, strung, painted",Adornment/Jewelry,Morona-Santiago Province; Ecuador (inferred),"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1921 using funds donated by Edith Hendricks (ca. 1849-1921, sister of MAI trustee Harmon W. Hendricks).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/257/428/061.700x700.jpg
Spear,probably Shuar/Achuar (attributed)  ,Carved,Hunting/Fishing/Warfare,"Río Napo; Napo Province, Orellana Province, Sucumbios Province; Ecuador","Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by MAI from W.O. Oldman in 1921 using funds donated by Edith Hendricks (ca. 1849-1921, sister of MAI trustee Harmon W. Hendricks).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/977/DSC00058.700x700.jpg
Bag,Enxet (Lengua)  ,Looped,Bags/Pouches (and parts),Eastern Bolivia; Bolivia,"Collection history unknown; acquired by William Ockleford Oldman (1879-1949, who did business as W.O. Oldman, Ethnographical Specimens, London) at an unknown date; purchased by George Heye from W.O. Oldman in London, England, in 1927.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/253/506/054.700x700.jpg
title,culture/people,media/materials,object type,place,collection history,image
Brooch,probably Mohegan (attributed)  ,"Hammered, cutout, stamped",Adornment/Jewelry,New London County; Connecticut; USA (inferred),"Formerly owned by Lester Skeesucks (Mohegan/Narragansett, 1826-1903); collected from him by anthropologist Frank G. Speck (1881-1950) in 1901; purchased by George Heye from Frank Speck in 1906.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10056/414/014.700x700.jpg
Strip/band,Anishinaabe (Chippewa/Ojibwa)  ,"Loom beadwork, sewn",Adornment/Jewelry,Wisconsin; USA,"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10104/663/046.700x700.jpg
Bracelet,Sac and Fox (Sauk & Fox)  ,"Hammered, stamped, perforated, riveted, soldered",Adornment/Jewelry,Oklahoma; USA,"Items in this set were collected from several Sac and Fox individuals (Chief McKosito [Ma ko sa to], Joe Carter, and Co-kwi-wu) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10058/856/036.700x700.jpg
Bracelet,Meskwaki (Fox)  ,"Hammered, stamped, soldered, riveted",Adornment/Jewelry,Iowa; USA,"Items in this set were collected from several Meskwaki individuals (Ka-ki'-no-kwa-ha, Me'c-ki'-gwe', Sas-kwi'-kwi') in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10052/283/017.700x700.jpg
Bracelet,Caddo  ,"Hammered, repoussé, stamped",Adornment/Jewelry,Oklahoma; USA,"Items in this set were collected from several Caddo individuals (Harry White Bread, Jesse James, Mary Reeder, Anna Johnson, Enoch Hoake, Lucy Beaver, Alfred Taylor, Caddo Jack, Nancy Longhair and David Shemamy) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10058/795/040.700x700.jpg
Strip/band,Anishinaabe (Chippewa/Ojibwa)  ,"Sewn, overlay beadwork",Adornment/Jewelry,Minnesota; USA,"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10104/567/062.700x700.jpg
Brooch,Caddo  ,"Hammered, cutout, perforated, stamped, engraved",Adornment/Jewelry,Oklahoma; USA,"Collected from Harry White Bread (Caddo), Mrs. Spybuck (Caddo), and R. W. Dunlap (Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10055/397/008.700x700.jpg
Finger ring,Caddo  ,"Hammered, stamped",Adornment/Jewelry,Oklahoma; USA,"Collected from Mrs. Charley Williams (Caddo) and Louisa Elliot (Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10080/068/005.700x700.jpg
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/085/DSC00104.700x700.jpg
Bead/beads,"possibly Multiple archaeological cultures (attributed); including Archaic Age (Ortoiroid), Saladoid, and Ostionan Ostionoid Traditions  ","Ground, drilled",Adornment/Jewelry,Puerto Rico,Collection history unknown; purchased by MAI from an unknown source in 1926.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/83/379/146310.700x700.jpg
Pendant,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Carved, ground, drilled",Adornment/Jewelry,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1913 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10095/007/DSC00026.700x700.jpg
Bracelet,probably Diné (Navajo) (attributed)  ,"Cast, stamped, soldered",Adornment/Jewelry,Arizona; USA (inferred),"Received as a gift by Audrey Vera Bullis (San Carlos Apache, 1909-1974) circa 1915; inherited by her daughter Dolores Lorie Russell (San Carlos Apache, 1936-2003); subsequently inherited by Lorie Russell's partner Kathleen M. Farquhar; donated to NMAI by Kathleen Farquhar in 2010 in memory of Lorie Russell.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10168/740/266729_000_001_20110204_ps.700x700.jpg
Nose ornament/Nose ring,probably Gran Coclé Tradition (archaeological culture) (attributed)  ,"Carved, hammered, embossed",Adornment/Jewelry,El Caño; Natá District; Coclé Province; Panama (inferred),"Collection history unknown; purchased by Alpheus Hyatt Verrill (1871-1954, explorer, author, and MAI field collector) from an unknown source in 1924 during fieldwork sponsored by MAI.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4076/954/004.700x700.jpg
Pendant,possibly Saladoid (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,Trant's Estate; Trant's; Saint Georges Parish; Montserrat,"Collected by Seymour Wylde Wilkin Howes (1883-1927, manager of Trant's estate on Montserrat), probably in the early 1900s; purchased by MAI from Seymour Howes in 1924.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10055/928/19.700x700.jpg
Pendant,probably Saladoid (archaeological culture) (attributed)  ,"Ground, carved, drilled",Adornment/Jewelry,Kitchen midden; Saint Bernard; Mayaro County; Trinidad; Trinidad and Tobago,"Excavated in 1915 by Theodoor de Booy (1882-1919, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10079/028/001.700x700.none.jpg
Bead/beads,possibly Multiple archaeological cultures (attributed); including Saladoid and Troumassan Troumassoid Traditions and Cayo Complex  ,"Ground, drilled",Adornment/Jewelry,Saint Vincent; Saint Vincent and the Grenadines,"Collected or purchased from local residents in 1915 by Reverend Thomas Huckerby (1869-1927, a Wesleyan minister and amateur archaeologist working in the Caribbean) during a collecting trip sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10030/000/074.700x700.none.jpg
Bead/beads,possibly Maya (archaeological culture) (attributed)  ,"Carved, drilled",Adornment/Jewelry,"Isla Roatán; Roatán Municipality, José Santos Guardiola Municipality; Islas de la Bahía Department; Honduras","Collected or excavated by explorer and adventurer Frederick A. Mitchell-Hedges (1882-1959), probably in the early 1930s; donated to MAI by F.A. Mitchell-Hedges in 1935.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10077/563/18.700x700.jpg
Bead/beads,probably Post-Classic period Maya (archaeological culture) (attributed)  ,"Ground, perforated, drilled",Adornment/Jewelry,Lamanai (Indian Church); Orange Walk District; Belize,"Probably collected or excavated by amateur archaeologist Dr. Thomas W. F. Gann (1867-1938, a physician stationed in Central America); purchased by MAI from Thomas Gann in 1919 using funds donated by MAI trustee James B. Ford (1844-1928).",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4050/090/09.700x700.jpg
